1691,Goettingen,Niedersachsen,0,9.9507,51.5002,167

DNI (W/m^2),GHI (W/m^2),Date (MM/DD/YYYY),Time (HH:MM),DHI (W/m^2),Dry-bulb (C),Alb

0,0,01/15/2019,22:00,0,11,53,0.25

0,0,01/15/2019,23:00,0,10,27,0.25

0,0,01/16/2019,00:00,0,10,12,0.25

0,0,01/16/2019,01:00,0,8,82,0.25

0,0,01/16/2019,02:00,0,7,88,0.25

0,0,01/16/2019,03:00,0,6,87,0.25

0,0,01/16/2019,04:00,0,4,78,0.25

0,0,01/16/2019,05:00,0,3,48,0.25

0,0,01/16/2019,06:00,0,2,67,0.25

0,0,01/16/2019,07:00,0,1,9,0.25

8,6112,23,9197,01/16/2019,08:00,15,3088,0,87,0.25

36,6666,101,8518,01/16/2019,09:00,65,1852,2,97,0.25

55,2779,153,5493,01/16/2019,10:00,98,2717,4,87,0.25

124,7223,346,4507,01/16/2019,11:00,221,7284,6,3,0.25

128,8889,358,0247,01/16/2019,12:00,229,1358,7,35,0.25

83,6112,232,2531,01/16/2019,13:00,148,6419,9,92,0.25

53,8889,149,6915,01/16/2019,14:00,95,8025,10,63,0.25

37,5,104,1666,01/16/2019,15:00,66,6667,10,13,0.25

11,1112,30,8642,01/16/2019,16:00,19,7531,8,83,0.25

0,0,01/16/2019,17:00,0,8,25,0.25

0,0,01/16/2019,18:00,0,7,27,0.25

0,0,01/16/2019,19:00,0,6,07,0.25

0,0,01/16/2019,20:00,0,5,97,0.25

0,0,01/16/2019,21:00,0,4,8,0.25

0,0,01/16/2019,22:00,0,4,38,0.25

0,0,01/16/2019,23:00,0,3,75,0.25

0,0,01/17/2019,00:00,0,5,35,0.25

0,0,01/17/2019,01:00,0,5,72,0.25

0,0,01/17/2019,02:00,0,5,35,0.25

0,0,01/17/2019,03:00,0,3,77,0.25

0,0,01/17/2019,04:00,0,2,7,0.25

0,0,01/17/2019,05:00,0,1,97,0.25

0,0,01/17/2019,06:00,0,1,3,0.25

0,0,01/17/2019,07:00,0,1,87,0.25

10,5555,29,321,01/17/2019,08:00,18,7654,1,42,0.25

38,611,107,253,01/17/2019,09:00,68,642,3,03,0.25

52,2223,145,0618,01/17/2019,10:00,92,8395,6,77,0.25

61,1112,169,7532,01/17/2019,11:00,108,6419,8,15,0.25

63,6113,176,6976,01/17/2019,12:00,113,0863,8,95,0.25

68,6112,190,5864,01/17/2019,13:00,121,9752,9,52,0.25

77,2222,214,5063,01/17/2019,14:00,137,284,9,52,0.25

40,2778,111,8827,01/17/2019,15:00,71,6049,8,73,0.25

0,2778,0,7716,01/17/2019,16:00,0,4938,9,33,0.25

0,0,01/17/2019,17:00,0,8,93,0.25

0,0,01/17/2019,18:00,0,8,85,0.25

0,0,01/17/2019,19:00,0,8,13,0.25

0,0,01/17/2019,20:00,0,7,57,0.25

0,0,01/17/2019,21:00,0,7,28,0.25

0,0,01/17/2019,22:00,0,6,48,0.25

0,0,01/17/2019,23:00,0,6,5,0.25

0,0,01/18/2019,00:00,0,6,02,0.25

0,0,01/18/2019,01:00,0,5,75,0.25

0,0,01/18/2019,02:00,0,5,37,0.25

0,0,01/18/2019,03:00,0,4,92,0.25

0,0,01/18/2019,04:00,0,3,47,0.25

0,0,01/18/2019,05:00,0,2,73,0.25

