date;time;GHI;DHI
25.09.2020;19:50:00;0;0
25.09.2020;20:00:00;0;0
25.09.2020;20:10:00;0;0
25.09.2020;20:20:00;0;0
25.09.2020;20:30:00;0;0
25.09.2020;20:40:00;0;0
25.09.2020;20:50:00;0;0
25.09.2020;21:00:00;0;0
25.09.2020;21:10:00;0;0
25.09.2020;21:20:00;0;0
25.09.2020;21:30:00;0;0
25.09.2020;21:40:00;0;0
25.09.2020;21:50:00;0;0
25.09.2020;22:00:00;0;0
25.09.2020;22:10:00;0;0
25.09.2020;22:20:00;0;0
25.09.2020;22:30:00;0;0
25.09.2020;22:40:00;0;0
25.09.2020;22:50:00;0;0
25.09.2020;23:00:00;0;0
25.09.2020;23:10:00;0;0
25.09.2020;23:20:00;0;0
25.09.2020;23:30:00;0;0
25.09.2020;23:40:00;0;0
25.09.2020;23:50:00;0;0
26.09.2020;00:00:00;0;0
26.09.2020;00:10:00;0;0
26.09.2020;00:20:00;0;0
26.09.2020;00:30:00;0;0
26.09.2020;00:40:00;0;0
26.09.2020;00:50:00;0;0
26.09.2020;01:00:00;0;0
26.09.2020;01:10:00;0;0
26.09.2020;01:20:00;0;0
26.09.2020;01:30:00;0;0
26.09.2020;01:40:00;0;0
26.09.2020;01:50:00;0;0
26.09.2020;02:00:00;0;0
26.09.2020;02:10:00;0;0
26.09.2020;02:20:00;0;0
26.09.2020;02:30:00;0;0
26.09.2020;02:40:00;0;0
26.09.2020;02:50:00;0;0
26.09.2020;03:00:00;0;0
26.09.2020;03:10:00;0;0
26.09.2020;03:20:00;0;0
26.09.2020;03:30:00;0;0
26.09.2020;03:40:00;0;0
26.09.2020;03:50:00;0;0
26.09.2020;04:00:00;0;0
26.09.2020;04:10:00;0;0
26.09.2020;04:20:00;0;0
26.09.2020;04:30:00;0;0
26.09.2020;04:40:00;0;0
26.09.2020;04:50:00;0;0
26.09.2020;05:00:00;0;0
26.09.2020;05:10:00;0;0
26.09.2020;05:20:00;0;0
26.09.2020;05:30:00;0;0
26.09.2020;05:40:00;0;0
26.09.2020;05:50:00;0;0
26.09.2020;06:00:00;0;0
26.09.2020;06:10:00;0;0
26.09.2020;06:20:00;5;5
26.09.2020;06:30:00;11.66666667;11.66666667
26.09.2020;06:40:00;15;15
26.09.2020;06:50:00;20;20
26.09.2020;07:00:00;20;20
26.09.2020;07:10:00;18.33333333;18.33333333
26.09.2020;07:20:00;18.33333333;18.33333333
26.09.2020;07:30:00;28.33333333;28.33333333
26.09.2020;07:40:00;35;35
26.09.2020;07:50:00;31.66666667;31.66666667
26.09.2020;08:00:00;36.66666667;36.66666667
26.09.2020;08:10:00;41.66666667;41.66666667
26.09.2020;08:20:00;56.66666667;56.66666667
26.09.2020;08:30:00;45;45
26.09.2020;08:40:00;40;40
26.09.2020;08:50:00;38.33333333;38.33333333
26.09.2020;09:00:00;108.3333333;108.3333333
26.09.2020;09:10:00;81.66666667;81.66666667
26.09.2020;09:20:00;121.6666667;121.6666667
26.09.2020;09:30:00;198.3333333;196.6666667
26.09.2020;09:40:00;153.3333333;153.3333333
26.09.2020;09:50:00;186.6666667;186.6666667
26.09.2020;10:00:00;160;160
26.09.2020;10:10:00;185;185
26.09.2020;10:20:00;240;240
26.09.2020;10:30:00;210;210
26.09.2020;10:40:00;155;155
26.09.2020;10:50:00;261.6666667;260
26.09.2020;11:00:00;293.3333333;291.6666667
26.09.2020;11:10:00;245;245
26.09.2020;11:20:00;211.6666667;211.6666667
26.09.2020;11:30:00;253.3333333;253.3333333
26.09.2020;11:40:00;350;345
26.09.2020;11:50:00;338.3333333;338.3333333
26.09.2020;12:00:00;305;305
26.09.2020;12:10:00;265;261.6666667
26.09.2020;12:20:00;306.6666667;298.3333333
26.09.2020;12:30:00;226.6666667;218.3333333
26.09.2020;12:40:00;56.66666667;56.66666667
26.09.2020;12:50:00;45;45
26.09.2020;13:00:00;171.6666667;171.6666667
26.09.2020;13:10:00;250;250
26.09.2020;13:20:00;170;170
26.09.2020;13:30:00;56.66666667;56.66666667
26.09.2020;13:40:00;86.66666667;85
26.09.2020;13:50:00;150;150
26.09.2020;14:00:00;58.33333333;58.33333333
26.09.2020;14:10:00;70;70
26.09.2020;14:20:00;50;50
26.09.2020;14:30:00;63.33333333;63.33333333
26.09.2020;14:40:00;103.3333333;103.3333333
26.09.2020;14:50:00;95;95
26.09.2020;15:00:00;88.33333333;88.33333333
26.09.2020;15:10:00;71.66666667;71.66666667
26.09.2020;15:20:00;80;80
26.09.2020;15:30:00;51.66666667;51.66666667
26.09.2020;15:40:00;20;20
26.09.2020;15:50:00;23.33333333;23.33333333
26.09.2020;16:00:00;13.33333333;13.33333333
26.09.2020;16:10:00;8.333333333;8.333333333
26.09.2020;16:20:00;5;5
26.09.2020;16:30:00;5;5
26.09.2020;16:40:00;0;0
26.09.2020;16:50:00;0;0
26.09.2020;17:00:00;0;0
26.09.2020;17:10:00;0;0
26.09.2020;17:20:00;0;0
26.09.2020;17:30:00;0;0
26.09.2020;17:40:00;0;0
26.09.2020;17:50:00;0;0
26.09.2020;18:00:00;0;0
26.09.2020;18:10:00;0;0
26.09.2020;18:20:00;0;0
26.09.2020;18:30:00;0;0
26.09.2020;18:40:00;0;0
26.09.2020;18:50:00;0;0
26.09.2020;19:00:00;0;0
26.09.2020;19:10:00;0;0
26.09.2020;19:20:00;0;0
26.09.2020;19:30:00;0;0
26.09.2020;19:40:00;0;0
26.09.2020;19:50:00;0;0
26.09.2020;20:00:00;0;0
26.09.2020;20:10:00;0;0
26.09.2020;20:20:00;0;0
26.09.2020;20:30:00;0;0
26.09.2020;20:40:00;0;0
26.09.2020;20:50:00;0;0
26.09.2020;21:00:00;0;0
26.09.2020;21:10:00;0;0
26.09.2020;21:20:00;0;0
26.09.2020;21:30:00;0;0
26.09.2020;21:40:00;0;0
26.09.2020;21:50:00;0;0
26.09.2020;22:00:00;0;0
26.09.2020;22:10:00;0;0
26.09.2020;22:20:00;0;0
26.09.2020;22:30:00;0;0
26.09.2020;22:40:00;0;0
26.09.2020;22:50:00;0;0
26.09.2020;23:00:00;0;0
26.09.2020;23:10:00;0;0
26.09.2020;23:20:00;0;0
26.09.2020;23:30:00;0;0
26.09.2020;23:40:00;0;0
26.09.2020;23:50:00;0;0
27.09.2020;00:00:00;0;0
27.09.2020;00:10:00;0;0
27.09.2020;00:20:00;0;0
27.09.2020;00:30:00;0;0
27.09.2020;00:40:00;0;0
27.09.2020;00:50:00;0;0
