Date,Specie,median
2022-08-24,wind-speed,4.0
2022-08-25,pm25,13.0
2022-08-25,humidity,83.8
2022-08-25,wind-speed,4.0
2022-08-26,humidity,83.0
2022-08-26,wind-speed,3.2
2022-08-26,pm25,17.0
2022-08-27,wind-speed,3.4
2022-08-27,pm25,17.0
2022-08-27,humidity,84.8
2022-08-28,wind-speed,4.0
2022-08-28,pm25,53.0
2022-08-28,humidity,80.8
2022-08-29,pm25,42.0
2022-08-29,humidity,80.0
2022-08-29,wind-speed,3.5
2022-08-30,humidity,79.5
2022-08-30,wind-speed,3.0
2022-08-30,pm25,55.0
2022-08-31,humidity,77.2
2022-08-31,wind-speed,2.5
2022-08-31,pm25,46.0
2022-09-01,wind-speed,1.7
2022-09-01,pm25,38.0
2022-09-01,humidity,79.0
2022-09-02,pm25,50.0
2022-09-02,humidity,79.8
2022-09-02,wind-speed,2.1
2022-09-03,pm25,38.0
2022-09-03,humidity,65.8
2022-09-03,wind-speed,2.6
2022-09-04,pm25,34.0
2022-09-04,wind-speed,1.8
2022-09-04,humidity,54.2
2022-09-05,wind-speed,1.8
2022-09-05,humidity,42.5
2022-09-05,pm25,46.0
2022-09-06,wind-speed,2.7
2022-09-06,humidity,50.1
2022-09-06,pm25,55.0
2022-09-07,wind-speed,3.0
2022-09-07,humidity,65.7
2022-09-07,pm25,61.0
2022-09-08,wind-speed,2.4
2022-09-08,humidity,55.6
2022-09-08,pm25,63.0
2022-09-09,humidity,72.5
2022-09-09,pm25,72.0
2022-09-09,wind-speed,2.0
2022-09-10,pm25,59.0
2022-09-10,humidity,76.3
2022-09-10,wind-speed,3.0
2022-09-11,pm25,55.0
2022-09-11,humidity,74.4
2022-09-11,wind-speed,2.5
2022-09-12,humidity,80.0
2022-09-12,wind-speed,4.0
2022-09-12,pm25,53.0
2022-09-13,wind-speed,5.0
2022-09-13,pm25,21.0
2022-09-13,humidity,81.0
2022-09-14,wind-speed,4.0
2022-09-14,pm25,30.0
2022-09-14,humidity,79.0
2022-09-15,wind-speed,3.0
2022-09-15,humidity,80.0
2022-09-15,pm25,34.0
2022-09-16,humidity,75.3
2022-09-16,pm25,34.0
2022-09-16,wind-speed,3.0
2022-09-17,humidity,78.6
2022-09-17,pm25,21.0
2022-09-17,wind-speed,4.5
2022-09-18,humidity,79.5
2022-09-18,pm25,13.0
2022-09-18,wind-speed,5.0
2022-09-19,humidity,74.6
2022-09-19,pm25,17.0
2022-09-19,wind-speed,3.2
2022-09-20,humidity,75.4
2022-09-20,wind-speed,2.0
2022-09-20,pm25,17.0
2022-09-21,wind-speed,2.0
2022-09-21,pm25,17.0
2022-09-21,humidity,77.3
2022-09-22,wind-speed,2.5
2022-09-22,pm25,25.0
2022-09-22,humidity,69.2
2022-09-23,pm25,34.0
2022-09-23,humidity,67.0
2022-09-23,wind-speed,2.5
2022-09-24,humidity,69.0
2022-09-24,wind-speed,3.0
2022-09-24,pm25,34.0
2022-09-25,humidity,83.3
2022-09-25,wind-speed,3.0
2022-09-25,pm25,30.0
2022-09-26,humidity,84.7
2022-09-26,pm25,30.0
2022-09-26,wind-speed,3.5
2022-09-27,pm25,30.0
2022-09-27,wind-speed,3.4
2022-09-27,humidity,80.4
2022-09-28,pm25,17.0
2022-09-28,wind-speed,2.3
2022-09-28,humidity,83.0
2022-09-29,pm25,30.0
2022-09-29,wind-speed,2.5
2022-09-29,humidity,73.5
2022-09-30,pm25,30.0
2022-09-30,wind-speed,3.0
2022-09-30,humidity,75.0
2022-10-01,wind-speed,4.0
2022-10-01,humidity,82.0
2022-10-01,pm25,21.0
2022-10-02,wind-speed,4.0
2022-10-02,pm25,21.0
2022-10-02,humidity,73.5
2022-10-03,humidity,78.0
2022-10-03,wind-speed,2.3
2022-10-03,pm25,21.0
2022-10-04,humidity,86.0
2022-10-04,pm25,34.0
2022-10-04,wind-speed,2.3
2022-10-05,pm25,30.0
2022-10-05,wind-speed,2.6
2022-10-05,humidity,84.6
2022-10-06,humidity,83.0
2022-10-06,wind-speed,3.0
2022-10-06,pm25,21.0
2022-10-07,pm25,17.0
2022-10-07,humidity,82.0
2022-10-07,wind-speed,2.0
2022-10-08,humidity,81.2
2022-10-08,wind-speed,2.0
2022-10-08,pm25,21.0
2022-10-09,pm25,17.0
2022-10-09,humidity,83.0
2022-10-09,wind-speed,2.2
2022-10-10,humidity,83.5
2022-10-10,pm25,25.0
2022-10-10,wind-speed,2.0
2022-10-11,wind-speed,2.2
2022-10-11,humidity,84.0
2022-10-11,pm25,50.0
2022-10-12,wind-speed,3.0
2022-10-12,pm25,42.0
2022-10-12,humidity,86.0
2022-10-13,pm25,17.0
2022-10-13,wind-speed,3.0
2022-10-13,humidity,87.0
2022-10-14,wind-speed,2.3
2022-10-14,pm25,25.0
2022-10-14,humidity,86.0
2022-10-15,humidity,81.7
2022-10-15,wind-speed,4.0
2022-10-15,pm25,34.0
2022-10-16,humidity,78.0
2022-10-16,wind-speed,4.0
2022-10-16,pm25,42.0
2022-10-17,humidity,80.0
2022-10-17,pm25,38.0
2022-10-17,wind-speed,2.3
2022-10-18,pm25,46.0
2022-10-18,humidity,69.0
2022-10-18,wind-speed,2.0
2022-10-19,wind-speed,2.0
2022-10-19,humidity,62.0
2022-10-19,pm25,42.0
2022-10-20,wind-speed,2.0
2022-10-20,pm25,42.0
2022-10-20,humidity,82.2
2022-10-21,humidity,86.0
2022-10-21,wind-speed,3.3
2022-10-21,pm25,55.0
2022-10-22,pm25,25.0
2022-10-22,wind-speed,4.6
2022-10-22,humidity,63.5
2022-10-23,pm25,13.0
2022-10-23,wind-speed,2.6
2022-10-23,humidity,56.0
2022-10-24,humidity,52.0
2022-10-24,wind-speed,1.5
