Wavelength [nm];Reflectivity
2782.7;6.8169
2784.2;6.8359
2785.7;6.8164
2787.2;6.7995
2788.7;6.8191
2790.2;6.8642
2791.7;6.8574
2793.2;6.8418
2794.7;6.8364
2796.2;6.7939
2797.7;6.7546
2799.2;6.7336
2800.7;6.6535
2802.2;6.5652
2803.8;6.5693
2805.3;6.5972
2806.8;6.5798
2808.3;6.5373
2809.8;6.5403
2811.4;6.468
2812.9;6.3909
2814.4;6.3618
2815.9;6.334
2817.5;6.2556
2819;6.177
2820.5;6.1272
2822.1;6.0578
2823.6;6.0149
2825.2;6.0066
2826.7;5.9326
2828.2;5.8249
2829.8;5.7273
2831.3;5.6362
2832.9;5.5908
2834.4;5.5723
2836;5.5378
2837.5;5.564
2839.1;5.5659
2840.6;5.5903
2842.2;5.5989
2843.7;5.6101
2845.3;5.6592
2846.9;5.6711
2848.4;5.6372
2850;5.644
2851.6;5.6348
2853.1;5.5937
2854.7;5.5942
2856.3;5.5998
2857.9;5.5559
2859.4;5.4995
2861;5.5134
2862.6;5.4861
2864.2;5.3984
2865.8;5.3779
2867.3;5.396
2868.9;5.3726
2870.5;5.3076
2872.1;5.2573
2873.7;5.2617
2875.3;5.2348
2876.9;5.1186
2878.5;5.0588
2880.1;5.0076
2881.7;4.9429
2883.3;4.9558
2884.9;4.9621
2886.5;4.8616
2888.1;4.7683
2889.7;4.7458
2891.3;4.737
2892.9;4.7026
2894.6;4.6543
2896.2;4.5864
2897.8;4.5954
2899.4;4.6174
2901;4.6055
2902.7;4.6736
2904.3;4.7224
2905.9;4.688
2907.5;4.7219
2909.2;4.7573
2910.8;4.7864
2912.4;4.8472
2914.1;4.8674
2915.7;4.8481
2917.4;4.8711
2919;4.9448
2920.7;5.0181
2922.3;5.021
2923.9;4.9717
2925.6;4.9861
2927.2;5.0166
2928.9;5.0171
2930.6;4.9927
2932.2;4.9678
2933.9;5.0066
2935.5;5.0559
2937.2;5.0491
2938.9;5.0185
2940.5;5.064
2942.2;5.0515
2943.9;5.0171
2945.5;5.0371
2947.2;5.0735
2948.9;5.0481
2950.6;4.999
2952.3;4.9773
2953.9;4.9856
2955.6;4.9985
2957.3;4.9927
2959;4.9941
2960.7;5.009
2962.4;4.988
2964.1;5.0132
2965.8;5.0754
2967.5;5.0837
2969.2;5.0837
2970.9;5.1228
2972.6;5.154
2974.3;5.1526
2976;5.165
2977.7;5.1831
2979.4;5.2388
2981.1;5.2524
2982.8;5.2148
2984.5;5.2114
2986.3;5.2473
2988;5.2768
2989.7;5.2993
2991.4;5.321
2993.2;5.333
2994.9;5.355
2996.6;5.3721
2998.4;5.3526
3000.1;5.3606
3001.8;5.3635
3003.6;5.3679
3005.3;5.3721
3007;5.3889
3008.8;5.4272
3010.5;5.4194
3012.3;5.4314
3014;5.4521
3015.8;5.4536
3017.6;5.4736
3019.3;5.5056
3021.1;5.4736
3022.8;5.4731
3024.6;5.5027
3026.4;5.51
3028.1;5.5119
3029.9;5.4617
3031.7;5.4761
3033.4;5.5683
3035.2;5.5535
3037;5.501
3038.8;5.5588
